Found 2102 Java files to convert
Output directory: converted
============================================================
[1/2102] ✓ Converted: LoadGridsquarePerformanceWorkaround.java → converted/include/zombie/LoadGridsquarePerformanceWorkaround.h
[2/2102] ✓ Converted: FileGuidPair.java → converted/include/zombie/FileGuidPair.h
[3/2102] ✓ Converted: MovingObjectUpdateSchedulerUpdateBucket.java → converted/include/zombie/MovingObjectUpdateSchedulerUpdateBucket.h
[4/2102] ✓ Converted: IntArrayCache.java → converted/include/zombie/IntArrayCache.h
[5/2102] ✓ Converted: ZomboidGlobals.java → converted/include/zombie/ZomboidGlobals.h
[6/2102] ✓ Converted: MapCollisionData.java → converted/include/zombie/MapCollisionData.h
[7/2102] ✓ Converted: GameTime.java → converted/include/zombie/GameTime.h
[8/2102] ✓ Converted: ShaderStackEntry.java → converted/include/zombie/ShaderStackEntry.h
[9/2102] ✓ Converted: GameProfiler.java → converted/include/zombie/GameProfiler.h
[10/2102] ✓ Converted: LootRespawn.java → converted/include/zombie/LootRespawn.h
[11/2102] ✓ Converted: ZomboidBitFlag.java → converted/include/zombie/ZomboidBitFlag.h
[12/2102] ✓ Converted: SystemDisabler.java → converted/include/zombie/SystemDisabler.h
[13/2102] ✓ Converted: WorldSoundManager.java → converted/include/zombie/WorldSoundManager.h
[14/2102] ✓ Converted: CollisionManager.java → converted/include/zombie/CollisionManager.h
[15/2102] ✓ Converted: ZombieTemplateManager.java → converted/include/zombie/ZombieTemplateManager.h
[16/2102] ✓ Converted: MovingObjectUpdateScheduler.java → converted/include/zombie/MovingObjectUpdateScheduler.h
[17/2102] ✓ Converted: ReanimatedPlayers.java → converted/include/zombie/ReanimatedPlayers.h
[18/2102] ✓ Converted: GameProfileRecording.java → converted/include/zombie/GameProfileRecording.h
[19/2102] ✓ Converted: VirtualZombieManager.java → converted/include/zombie/VirtualZombieManager.h
[20/2102] ✓ Converted: GameSounds.java → converted/include/zombie/GameSounds.h
[21/2102] ✓ Converted: MapGroups.java → converted/include/zombie/MapGroups.h
[22/2102] ✓ Converted: PredicatedFileWatcher.java → converted/include/zombie/PredicatedFileWatcher.h
[23/2102] ✓ Converted: SvnVersion.java → converted/include/zombie/SvnVersion.h
[24/2102] ✓ Converted: TimeDebugger.java → converted/include/zombie/TimeDebugger.h
[25/2102] ✓ Converted: CollisionMatrixPrototypes.java → converted/include/zombie/CollisionMatrixPrototypes.h
[26/2102] ✓ Converted: DummyAmbientStreamManager.java → converted/include/zombie/DummyAmbientStreamManager.h
[27/2102] ✓ Converted: GameWindow.java → converted/include/zombie/GameWindow.h
[28/2102] ✓ Converted: BaseAmbientStreamManager.java → converted/include/zombie/BaseAmbientStreamManager.h
[29/2102] ✓ Converted: SandboxOptions.java → converted/include/zombie/SandboxOptions.h
[30/2102] ✓ Converted: ISoundSystem.java → converted/include/zombie/ISoundSystem.h
[31/2102] ✓ Converted: DummySoundManager.java → converted/include/zombie/DummySoundManager.h
[32/2102] ✓ Converted: BitMatrix.java → converted/include/zombie/BitMatrix.h
[33/2102] ✓ Converted: ChunkMapFilenames.java → converted/include/zombie/ChunkMapFilenames.h
[34/2102] ✓ Converted: SharedDescriptors.java → converted/include/zombie/SharedDescriptors.h
[35/2102] ✓ Converted: IndieGL.java → converted/include/zombie/IndieGL.h
[36/2102] ✓ Converted: BaseSoundManager.java → converted/include/zombie/BaseSoundManager.h
[37/2102] ✓ Converted: SoundManager.java → converted/include/zombie/SoundManager.h
[38/2102] ✓ Converted: FileGuidTable.java → converted/include/zombie/FileGuidTable.h
[39/2102] ✓ Converted: ZomboidFileSystem.java → converted/include/zombie/ZomboidFileSystem.h
[40/2102] ✓ Converted: PersistentOutfits.java → converted/include/zombie/PersistentOutfits.h
[41/2102] ✓ Converted: AmbientSoundManager.java → converted/include/zombie/AmbientSoundManager.h
[42/2102] ✓ Converted: FPSTracking.java → converted/include/zombie/FPSTracking.h
[43/2102] ✓ Converted: ZombieSpawnRecorder.java → converted/include/zombie/ZombieSpawnRecorder.h
[44/2102] ✓ Converted: FliesSound.java → converted/include/zombie/FliesSound.h
[45/2102] ✓ Converted: AmbientStreamManager.java → converted/include/zombie/AmbientStreamManager.h
[46/2102] ✓ Converted: DebugFileWatcher.java → converted/include/zombie/DebugFileWatcher.h
[47/2102] ✓ Converted: EngineTestbed.java → converted/include/N3D/EngineTestbed.h
[48/2102] ✓ Converted: ISearchNode.java → converted/include/astar/ISearchNode.h
[49/2102] ✓ Converted: AStar.java → converted/include/astar/AStar.h
[50/2102] ✓ Converted: ASearchNode.java → converted/include/astar/ASearchNode.h
[51/2102] ✓ Converted: IGoalNode.java → converted/include/astar/IGoalNode.h
[52/2102] ✓ Converted: SWIGTYPE_p_FMOD_MEMORY_FREE_CALLBACK.java → converted/include/fmod/SWIGTYPE_p_FMOD_MEMORY_FREE_CALLBACK.h
[53/2102] ✓ Converted: SWIGTYPE_p_p_FMOD_DSPCONNECTION.java → converted/include/fmod/SWIGTYPE_p_p_FMOD_DSPCONNECTION.h
[54/2102] ✓ Converted: javafmod.java → converted/include/fmod/javafmod.h
[55/2102] ✓ Converted: SWIGTYPE_p_FMOD_FILE_SEEK_CALLBACK.java → converted/include/fmod/SWIGTYPE_p_FMOD_FILE_SEEK_CALLBACK.h
[56/2102] ✓ Converted: SWIGTYPE_p_FMOD_GUID.java → converted/include/fmod/SWIGTYPE_p_FMOD_GUID.h
[57/2102] ✓ Converted: SWIGTYPE_p_FMOD_SOUNDGROUP_BEHAVIOR.java → converted/include/fmod/SWIGTYPE_p_FMOD_SOUNDGROUP_BEHAVIOR.h
[58/2102] ✓ Converted: SWIGTYPE_p_FMOD_FILE_READ_CALLBACK.java → converted/include/fmod/SWIGTYPE_p_FMOD_FILE_READ_CALLBACK.h
[59/2102] ✓ Converted: SWIGTYPE_p_FMOD_DSP.java → converted/include/fmod/SWIGTYPE_p_FMOD_DSP.h
[60/2102] ✓ Converted: SWIGTYPE_p_FMOD_CODEC_DESCRIPTION.java → converted/include/fmod/SWIGTYPE_p_FMOD_CODEC_DESCRIPTION.h
[61/2102] ✓ Converted: SWIGTYPE_p_FMOD_3D_ROLLOFF_CALLBACK.java → converted/include/fmod/SWIGTYPE_p_FMOD_3D_ROLLOFF_CALLBACK.h
